	log_likelihood
1411	16575.51
1412	16418.432
1413	16439.057
1414	16249.4
1415	15997.175
1416	16466.754
1417	15005.888
1418	16395.568
1419	16603.01
1420	16212.398
1421	16713.656
1422	16370.315
1423	16787.082
1424	16218.222
1425	16300.581
1426	16467.996
1427	15784.302
1428	16326.096
1429	15999.959
1430	16414.89
1431	16305.55
1432	16410.652
1433	16534.75
1434	16272.37
1435	16430.941
1436	16401.748
1437	14925.453
1438	16464.668
1439	16542.568
1440	16388.152
1441	15692.675
1442	16260.705
1443	16429.598
1444	15874.662
1445	15952.653
1446	15595.331
1447	16563.973
1448	15691.998
1449	16413.717
1450	15401.8125
1451	16088.222
1452	16476.312
1453	15960.794
1454	16189.815
1455	16579.99
1456	15386.117
1457	16551.559
1458	15869.557
1459	15539.037
1460	16780.215
1461	16934.078
1462	16722.62
1463	16114.791
1464	15743.455
1465	16804.637
1466	16596.154
1467	16853.176
1468	16867.688
1469	16231.588
1470	16080.631
1471	16593.88
1472	16355.725
1473	16567.52
1474	16246.894
1475	16706.209
1476	16770.816
1477	16533.637
1478	16068.732
1479	16377.745
1480	16555.4
1481	16544.316
1482	16349.135
1483	16789.71
1484	16663.785
1485	16146.815
1486	16049.053
1487	16551.582
1488	16713.246
1489	16635.012
1490	16645.646
1491	16755.4
1492	16618.713
1493	16743.193
1494	16326.096
1495	16251.487
1496	16416.027
1497	16642.025
1498	16759.482
1499	16773.553
1500	16751.271
1501	16445.41
1502	16572.248
1503	16370.589
1504	16595.621
1505	16651.637
1506	16422.648
1507	16351.805
1508	15904.3
1509	16586.275
1510	16526.795
1511	16671.543
1512	16628.441
1513	16394.1
1514	16589.346
1515	16406.387
1516	16668.709
1517	16466.984
1518	16343.153
1519	16510.262
1520	16417.527
1521	16612.191
1522	16155.912
1523	16474.262
1524	16446.816
1525	16708.416
1526	16758.59
1527	16718.303
1528	16917.254
1529	16617.865
1530	16491.688
1531	16345.714
1532	16808.078
1533	16580.732
1534	16569.957
1535	16318.93
1536	16645.574
1537	16856.26
1538	16053.615
1539	16776.152
1540	16247.318
1541	16523.91
1542	16542.533
1543	16413.994
1544	16572.484
1545	16550.625
1546	16253.435
1547	16542.3
1548	16387.434
1549	15897.736
1550	16339.091
1551	16767.24
1552	16462.887
1553	16605.23
1554	16718.205
1555	16711.754
1556	16518.527
1557	16428.969
1558	16564.34
1559	16782.887
1560	16408.48
1561	16570.959
1562	16776.37
1563	15723.248
1564	16483.479
1565	15997.839
1566	16497.316
1567	16852.299
1568	16603.969
1569	16485.572
1570	16716.598
1571	16309.859
1572	16573.238
1573	16404.297
1574	16131.875
1575	16261.15
1576	16364.768
1577	16405.72
1578	16656.145
1579	16554.77
1580	16257.894
1581	16166.737
1582	16419.328
1583	16626.484
1584	16279.716
1585	16491.527
1586	16654.568
1587	16691.291
1588	16610.676
1589	16698.543
1590	16317.474
1591	16671.65
1592	16488.635
1593	15367.724
1594	16483.66
1595	16828.377
1596	16765.94
1597	16707.154
1598	16788.47
1599	16322.471
1600	15703.635
1601	16798.014
1602	16779.848
1603	15977.456
1604	16088.156
1605	16515.363
1606	16676.676
1607	16680.277
1608	16696.512
1609	16547.613
1610	16800.137
1611	16238.981
1612	16018.564
1613	16631.748
1614	16716.684
1615	16654.957
1616	15631.964
1617	16712.676
1618	16652.225
1619	15976.552
1620	16754.932
1621	16718.922
1622	16718.953
1623	16445.66
1624	16712.014
1625	16670.691
1626	16633.596
1627	16347.436
1628	16179.756
1629	16468.812
1630	16565.652
1631	16412.191
1632	16546.787
1633	16115.514
1634	16293.709
1635	16430.12
1636	16481.047
1637	16735.607
1638	16451.395
1639	16122.847
1640	15139.44
1641	16305.234
1642	16607.01
1643	16808.926
1644	16642.432
1645	16406.041
1646	16757.285
1647	16418.873
1648	16213.717
1649	16390.473
1650	16625.025
1651	16602.283
1652	16016.475
1653	16232.019
1654	16789.172
1655	15778.477
1656	16693.238
1657	16403.752
1658	16279.252
1659	16380.3
1660	16736.396
1661	16971.965
1662	16576.11
1663	16480.988
1664	16570.178
1665	16462.303
1666	16487.062
1667	16416.89
1668	16802.604
1669	16772.012
1670	15992.151
1671	16672.234
1672	16648.975
1673	16389.7
1674	16626.611
1675	16304.49
1676	16310.091
1677	16778.244
1678	16328.32
1679	16159.643
1680	16486.832
1681	15608.383
1682	16802.947
1683	15254.737
1684	16721.764
1685	16663.941
1686	16369.136
1687	16779.027
1688	16103.854
1689	16503.672
1690	16682.69
1691	16665.451
1692	16530.723
1693	16709.986
1694	16830.781
1695	16701.379
1696	16502.031
1697	16777.635
1698	16771.25
1699	16471.635
1700	16584.217
1701	16436.027
1702	16686.162
1703	16646.418
1704	16361.38
1705	16739.799
1706	16346.74
1707	16723.256
1708	16695.633
1709	16301.947
1710	16828.81
1711	16273.9
1712	16367.849
1713	16084.7
1714	16793.81
1715	16343.898
1716	16816.924
1717	16313.875
1718	16617.662
1719	15132.281
1720	16252.912
1721	16320.412
1722	15731.138
1723	16296.584
1724	16291.831
1725	15926.994
1726	16392.387
1727	16497.379
1728	16469.605
1729	16282.567
1730	16574.59
1731	16282.263
1732	16188.908
1733	16355.139
1734	16641.75
1735	15141.795
1736	16218.01
1737	16625.809
1738	16362.609
1739	15753.55
1740	16876.035
1741	16277.127
1742	16646.271
1743	16485.684
1744	16521.453
1745	16139.672
1746	16535.889
1747	16264.881
1748	16108.56
1749	16656.27
1750	16678.137
1751	16756.979
1752	16396.932
1753	16620.834
1754	16112.713
1755	15922.35
1756	16558.672
1757	16668.918
1758	16609.637
1759	16036.357
1760	16449.562
1761	16191.854
1762	16728.863
1763	16263.7705
1764	16598.754
1765	16495.902
1766	16526.125
1767	16135.753
1768	16720.713
1769	16523.438
1770	16683.332
1771	16258.531
1772	16606.047
1773	16511.521
1774	16319.451
1775	16204.021
1776	16651.107
1777	16267.739
1778	16531.785
1779	16074.841
1780	16300.838
1781	16467.516
1782	16476.652
1783	16705.176
1784	16576.775
1785	16267.435
1786	15926.549
1787	16460.104
1788	16517.785
1789	16197.693
1790	16736.463
1791	16440.455
1792	15994.963
1793	16440.502
1794	15793.047
1795	16517.281
1796	16630.09
1797	16275.307
1798	16198.732
1799	16036.279
1800	16707.648
1801	16216.193
1802	16497.963
1803	16047.206
1804	16771.848
1805	16521.062
1806	16608.148
1807	16354.955
1808	16462.129
1809	16787.566
1810	16114.45
1811	16262.955
1812	16173.495
1813	16463.566
1814	16727.943
1815	16581.701
1816	16286.58
1817	16279.859
1818	16408.717
1819	16130.85
1820	16452.709
1821	16268.076
1822	16179.703
1823	16394.742
1824	16279.682
1825	16635.848
1826	16724.73
1827	16795.012
1828	15852.175
1829	16565.781
1830	16382.706
1831	16224.956
1832	16484.826
1833	16415.844
1834	16556.348
1835	16260.703
1836	16559.945
1837	16741.285
1838	16589.105
1839	16631.781
1840	16480.783
1841	16601.934
1842	16923.855
1843	16685.129
1844	16665.396
1845	16714.818
1846	16613.516
1847	16282.183
1848	16518.441
1849	16347.622
1850	16290.575
1851	16475.54
1852	16645.01
1853	16627.781
1854	16740.371
1855	16593.766
1856	16373.68
1857	16714.63
1858	16326.596
1859	16741.016
1860	16706.818
1861	16244.458
1862	16638.668
1863	16671.646
